Isotope	State	Intensity (pps)	Proton current	Ion source	Info
19K	K48g	3.10E2	50	Re surface	48K8+
19K	K48g	9.00E2	50	Re surface	48K9+
19K	K48g	7.50E2	50	Re surface	48K10+
19K	K48g	4.30E2	50	Re surface	48K11+
37Rb	Rb80g	3.90E7	50	Re surface	
37Rb	Rb80g	7.60E5	50	Re surface	80Rb12+
37Rb	Rb80g	5.60E5	50	Re surface	80Rb13+
37Rb	Rb80g	7.60E5	50	Re surface	80Rb14+
37Rb	Rb80g	8.60E5	50	Re surface	80Rb15+
37Rb	Rb80g	8.60E5	50	Re surface	80Rb16+
37Rb	Rb80g	6.20E5	50	Re surface	80Rb17+
37Rb	Rb80g	3.30E5	50	Re surface	80Rb18+
69Tm	Tm156g	6.70E7	50	Re surface	
70Yb	Yb156g	2.30E7	50	Re surface	
56Ba	Ba125g	2.00E6	50	Re surface	
20Ca	Ca47g	8.10E6	50	Re surface	
55Cs	Cs122m1	2.90E6	50	Re surface	
55Cs	Cs124m1	2.70E6	50	Re surface	
55Cs	Cs122m2	2.80E6	50	Re surface	
55Cs	Cs122g	1.80E7	50	Re surface	
55Cs	Cs123g	5.30E7	50	Re surface	
55Cs	Cs124g	1.10E8	50	Re surface	
55Cs	Cs125g	1.40E8	50	Re surface	
55Cs	Cs126g	6.00E7	50	Re surface	
19K	K38m1	5.50E3	50	Re surface	
19K	K37g	5.30E2	50	Re surface	
19K	K38g	2.80E5	50	Re surface	
19K	K46g	9.40E6	50	Re surface	
19K	K47g	1.90E6	50	Re surface	
19K	K48g	1.10E5	50	Re surface	
37Rb	Rb78m1	2.40E6	50	Re surface	
37Rb	Rb76g	1.20E4	50	Re surface	
37Rb	Rb77g	1.20E5	50	Re surface	
37Rb	Rb78g	1.00E6	50	Re surface	
37Rb	Rb79g	2.10E7	50	Re surface	
37Rb	Rb80g	8.10E7	50	Re surface	
3Li	Li8g	1.60E8	50	Re surface	
31Ga	Ga65g	2.10E5	50	Re surface	
31Ga	Ga67g	6.50E6	50	Re surface	
31Ga	Ga71g	1.60E7	50	Re surface	
31Ga	Ga76g	3.30E4	50	Re surface	
32Ge	Ge67g	1.20E4	50	Re surface	
